City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,forster,-32.1667,152.5167,20.72,57,28,3.7,AU,1698535823
210,hamilton,39.1834,-84.5333,13.28,90,100,4.12,US,1698535408
211,ancud,-41.8697,-73.8203,7.58,79,80,11.24,CL,1698535615
212,suva,-18.1416,178.4415,28.71,65,75,6.17,FJ,1698535534
213,fort frances,48.5999,-93.4003,-3.24,77,90,0.45,CA,1698535823
214,port douglas,-16.4833,145.4667,24.58,71,94,5.9,AU,1698535705
215,barra de santo antonio,-9.4047,-35.5072,25.6,77,100,4.97,BR,1698535824
216,conde,-7.2597,-34.9075,25.7,78,40,3.6,BR,1698535824
217,vila velha,-20.3297,-40.2925,25.97,83,40,4.12,BR,1698535686
218,georgetown,5.4112,100.3354,26.64,94,20,1.54,MY,1698535487
219,polyarnyy,69.1989,33.4478,-6.34,93,96,1.59,RU,1698535695
220,kodiak,57.79,-152.4072,7.73,93,100,8.23,US,1698535463
221,tebessa,35.4042,8.1242,21.6,26,40,2.57,DZ,1698535825
222,nemuro,43.3236,145.575,12.46,76,97,3.8,JP,1698535648
223,ar rass,25.8694,43.4973,21.84,43,95,2.99,SA,1698535825
224,kapit,2.0167,112.9333,24.64,95,80,0.37,MY,1698535826
225,borkum,53.5809,6.6915,10.97,92,100,10.78,DE,1698535826
226,port lincoln,-34.7333,135.8667,13.64,59,16,3.66,AU,1698535682
227,ribeira grande,38.5167,-28.7,17.65,66,100,1.79,PT,1698535663
228,pingliang,35.5392,106.6861,11.22,62,0,0.66,CN,1698535826
229,haiku-pauwela,20.9219,-156.3051,29.01,58,40,10.29,US,1698535654
230,tazovsky,67.4667,78.7,-14.33,91,51,4.28,RU,1698535661
231,anadyr,64.75,177.4833,2.28,100,100,5.0,RU,1698535680
232,severo-yeniseyskiy,60.3725,93.0408,-9.12,81,100,7.15,RU,1698535827
233,bonthe,7.5264,-12.505,25.58,87,9,1.31,SL,1698535678
234,dul'durga,50.6761,113.5931,-4.66,47,81,6.34,RU,1698535827
235,le vauclin,14.5452,-60.8388,25.03,94,100,2.57,MQ,1698535828
236,cannonvale,-20.2833,148.7,24.66,56,67,7.73,AU,1698535828
237,mbulu,-3.85,35.5333,16.03,88,51,4.17,TZ,1698535828
238,ts'alenjikha,42.6044,42.0682,18.63,65,100,1.21,GE,1698535829
239,mawlamyinegyunn,16.3833,95.2667,24.42,91,84,1.51,MM,1698535829
240,coxim,-18.5067,-54.76,28.34,59,66,2.59,BR,1698535830
241,ustka,54.5805,16.8619,5.36,77,100,5.34,PL,1698535830
242,jumla,29.2747,82.1838,7.01,63,100,1.68,NP,1698535830
243,kalmunai,7.4167,81.8167,25.26,86,74,1.27,LK,1698535709
244,ormara,25.2088,64.6357,26.71,69,0,4.01,PK,1698535831
245,puerto aysen,-45.4,-72.7,4.38,99,100,2.11,CL,1698535645
246,saint-francois,46.4154,3.9054,15.69,60,0,7.2,FR,1698535831
247,santa elena de uairen,4.6167,-61.1333,24.88,60,98,1.2,VE,1698535408
248,savanna-la-mar,18.219,-78.1332,27.97,76,18,2.78,JM,1698535832
249,la passe,45.5549,-0.8967,15.13,87,100,8.8,FR,1698535666
250,zalingei,12.9096,23.4741,26.4,50,86,1.32,SD,1698535720
251,shortandy,51.7006,70.9994,0.06,99,100,3.97,KZ,1698535832
252,mejit,10.2753,170.8646,28.45,75,45,8.37,MH,1698535673
253,nantucket,41.2835,-70.0995,19.45,93,0,5.14,US,1698535693
254,isafjordur,66.0755,-23.124,2.18,86,99,2.53,IS,1698535612
255,tame,6.461,-71.73,23.17,95,100,1.99,CO,1698535833
256,boa vista,2.8197,-60.6733,31.99,51,20,2.06,BR,1698535833
257,erenhot,43.6475,111.9767,8.64,35,38,4.6,CN,1698535834
258,tbeng meanchey,13.8167,104.9667,24.4,97,98,1.3,KH,1698535834
259,codroipo,45.96,12.9792,14.34,89,0,2.06,IT,1698535834
260,doctor alberto oviedo mota,32.2275,-115.1697,30.0,12,0,1.7,MX,1698535834
261,tibanesti,46.9167,27.3333,12.31,62,3,1.29,RO,1698535834
262,chinde,26.8418,88.0763,13.37,73,26,2.01,NP,1698535613
263,saint-louis,16.3333,-15.0,29.8,30,17,4.28,SN,1698535669
264,choix,26.7092,-108.3219,27.1,49,0,1.4,MX,1698535835
265,itamaraca,-7.7478,-34.8256,27.03,72,79,4.07,BR,1698535598
266,nasir,15.5894,32.5634,28.81,49,73,5.7,SD,1698535835
267,villa gesell,-37.2639,-56.973,16.67,81,5,6.24,AR,1698535836
268,zhanaozen,43.3,52.8,17.29,52,89,2.88,KZ,1698535836
269,borogontsy,62.6683,131.1683,-5.26,86,100,4.16,RU,1698535837
270,amos,48.5669,-78.1162,-2.05,76,97,3.32,CA,1698535587
271,mil'kovo,55.6078,37.7956,0.33,98,100,4.89,RU,1698535403
272,muntok,-2.0667,105.1833,26.33,83,49,3.23,ID,1698535837
273,antofagasta,-23.65,-70.4,16.6,82,14,3.08,CL,1698535733
274,retreat,38.8245,-85.8533,13.53,65,100,2.65,US,1698535838
275,ballycastle,55.2044,-6.243,11.97,88,100,9.89,GB,1698535838
276,badger,64.8,-147.5333,-1.77,90,20,0.0,US,1698535838
277,landeck,47.1301,10.5636,9.44,86,70,3.55,AT,1698535838
278,dakhla,23.6848,-15.958,20.89,89,6,8.21,EH,1698535839
279,lastoursville,-0.8143,12.7287,24.48,82,96,0.85,GA,1698535839
280,gaspe,48.8334,-64.4819,10.12,66,40,9.26,CA,1698535839
281,turpan,42.9333,89.1667,12.87,45,6,1.33,CN,1698535839
282,aykhal,66.0,111.5,-18.51,100,94,4.07,RU,1698535637
283,nagqu,31.5,92.0,-5.71,63,100,0.83,CN,1698535839
284,pisco,-13.7,-76.2167,21.03,78,20,7.2,PE,1698535710
285,roswell,34.0232,-84.3616,23.88,69,20,2.06,US,1698535690
286,santander,43.4647,-3.8044,16.28,90,75,3.6,ES,1698535740
287,hammerfest,70.6634,23.6821,-0.75,80,40,2.06,NO,1698535840
288,man,7.4125,-7.5538,22.01,88,30,0.4,CI,1698535840
289,buarcos,40.166,-8.8768,18.7,84,99,10.57,PT,1698535840
290,morteros,-30.7116,-61.9986,26.68,61,0,4.57,AR,1698535841
291,mersing,2.4312,103.8405,23.95,94,40,0.0,MY,1698535841
292,daru,-9.0763,143.2092,24.87,94,100,6.18,PG,1698535724
293,malmberget,67.1753,20.6549,-15.69,85,100,1.54,SE,1698535841
294,porto novo,6.4965,2.6036,27.9,83,3,1.68,BJ,1698535842
295,quatre cocos,-20.2078,57.7625,22.83,80,5,2.45,MU,1698535842
296,akjoujt,19.6969,-14.4164,29.32,17,0,2.34,MR,1698535842
297,shingu,33.7333,135.9833,14.17,65,0,3.33,JP,1698535744
298,acarau,-2.8856,-40.12,26.4,77,23,9.03,BR,1698535842
299,mount gambier,-37.8333,140.7667,14.82,45,54,3.2,AU,1698535842
300,onega,63.9061,38.1404,-3.57,93,100,2.43,RU,1698535843
301,chonchi,-42.6128,-73.8092,6.56,92,89,5.02,CL,1698535843
302,ishim,56.1128,69.4902,-5.54,88,100,2.68,RU,1698535843
303,ararat,39.8317,44.7049,12.19,48,70,1.0,AM,1698535843
304,thames,-37.1333,175.5333,15.12,60,97,8.17,NZ,1698535843
305,rwamagana,-1.9487,30.4347,16.69,83,62,0.8,RW,1698535843
306,fort bragg,35.139,-79.006,24.9,67,0,0.0,US,1698535844
307,moses lake,47.1301,-119.2781,7.38,33,0,1.54,US,1698535830
308,el espinal,16.3333,-94.0667,25.16,76,7,1.6,MX,1698535844
309,coari,-4.085,-63.1414,30.26,38,98,1.72,BR,1698535822
310,harper,4.375,-7.7169,25.39,89,9,2.82,LR,1698535844
311,wotho,10.1657,166.0102,28.6,76,9,6.34,MH,1698535845
312,narasannapeta,18.4167,84.05,22.1,82,76,2.29,IN,1698535845
313,st. john's,47.5649,-52.7093,12.76,92,100,6.69,CA,1698535813
314,al ghayzah,16.2079,52.176,25.17,75,32,1.47,YE,1698535845
315,zhezqazghan,47.7833,67.7667,8.03,76,74,4.29,KZ,1698535845
316,junin,-34.5838,-60.9433,20.5,74,0,3.68,AR,1698535584
317,buala,-8.145,159.5921,29.25,71,94,2.01,SB,1698535846
318,mar del plata,-38.0023,-57.5575,26.01,54,0,8.94,AR,1698535846
319,ajuchitlan del progreso,18.1519,-100.4835,26.16,87,100,0.34,MX,1698535846
320,korocha,50.8107,37.1953,9.4,85,100,9.44,RU,1698535846
321,santiago,-33.4569,-70.6483,13.25,70,100,4.63,CL,1698535846
322,palmer,42.1584,-72.3287,21.23,52,0,4.63,US,1698535627
323,touros,-5.1989,-35.4608,25.5,76,63,6.42,BR,1698535847
324,yanchep,-31.55,115.6833,16.45,67,27,2.04,AU,1698535847
325,xining,36.6167,101.7667,4.72,48,2,0.74,CN,1698535847
326,puerto deseado,-47.7503,-65.8938,14.01,22,83,11.64,AR,1698535630
327,luchegorsk,46.4764,134.2569,3.46,45,7,1.59,RU,1698535847
328,tromso,69.6496,18.957,-3.99,80,73,0.51,NO,1698535848
329,taroa,8.7058,171.2275,28.8,73,93,8.61,MH,1698535848
330,sorsk,54.0033,90.2467,-9.61,84,7,0.75,RU,1698535848
331,pimenta bueno,-11.6725,-61.1936,23.75,90,80,1.63,BR,1698535848
332,hadibu,12.65,54.0333,25.56,82,94,3.59,YE,1698535848
333,nizhneangarsk,55.7833,109.55,-6.11,54,26,3.58,RU,1698535848
334,tvoroyri,61.5556,-6.8111,8.35,79,78,11.22,FO,1698535849
335,lamar,33.6668,-95.5836,17.02,98,100,2.06,US,1698535849
336,weno,7.4515,151.8468,28.97,84,100,2.06,FM,1698535662
337,neyshabur,36.2133,58.7958,17.57,36,86,0.86,IR,1698535849
338,elin pelin,42.6667,23.6,13.79,81,75,1.03,BG,1698535849
339,hassi messaoud,31.6804,6.0729,23.92,20,0,2.06,DZ,1698535849
340,nar'yan-mar,67.6713,53.087,-12.16,90,100,3.58,RU,1698535849
341,kruisfontein,-34.0033,24.7314,9.26,58,67,2.02,ZA,1698535850
342,antigonish,45.6169,-61.9986,19.9,86,4,2.24,CA,1698535742
343,lompoc,34.6391,-120.4579,22.66,68,0,12.52,US,1698535850
344,tchibanga,-2.85,11.0333,22.61,97,11,0.97,GA,1698535850
345,tanjungtiram,4.0613,98.3699,24.46,92,99,0.74,ID,1698535850
346,tangalle,6.024,80.7911,24.86,88,100,1.73,LK,1698535851
347,nova xavantina,-14.6667,-52.35,29.63,49,73,1.19,BR,1698535851
348,carnarvon,-24.8667,113.6333,20.66,57,1,10.99,AU,1698535851
349,ulsteinvik,62.3432,5.8487,3.2,78,0,4.02,NO,1698535851
350,ambam,2.3833,11.2833,20.7,95,77,0.7,CM,1698535851
351,san antonio,29.4241,-98.4936,30.5,61,75,6.17,US,1698535567
352,abaza,52.655,90.0928,-6.77,70,20,1.04,RU,1698535852
353,fisterra,42.9049,-9.2629,15.01,77,100,12.66,ES,1698535617
354,as sulayyil,20.4607,45.5779,25.14,50,60,3.23,SA,1698535852
355,sao vicente,-23.9631,-46.3919,30.15,78,100,2.24,BR,1698535628
356,hami,42.8,93.45,8.31,53,2,2.71,CN,1698535852
357,ringkobing,56.0901,8.244,7.79,91,100,10.66,DK,1698535852
358,garoowe,8.4054,48.4845,23.06,78,100,4.92,SO,1698535852
359,yaring,6.8662,101.3689,25.64,86,100,1.58,TH,1698535853
360,ribeira brava,32.65,-17.0667,21.35,62,71,3.43,PT,1698535853
